user_id,title,grade
89,"Childish Quarrel",5
73,"Childish Quarrel",4
56,"Childish Quarrel",8
32,"Childish Quarrel",3
142,"Childish Quarrel",3
25,"Childish Quarrel",6
120,"Childish Quarrel",3
60,"Childish Quarrel",6
15,"Childish Quarrel",5
76,"Childish Quarrel",5
33,"Childish Quarrel",5
137,"Childish Quarrel",2
72,"Childish Quarrel",6
21,"Automated Hat-Maker and Sausage-Grinder",10
28,"Automated Hat-Maker and Sausage-Grinder",9
161,"Automated Hat-Maker and Sausage-Grinder",4
98,"Automated Hat-Maker and Sausage-Grinder",8
58,"Automated Hat-Maker and Sausage-Grinder",10
9,"Automated Hat-Maker and Sausage-Grinder",1
103,"Automated Hat-Maker and Sausage-Grinder",5
127,"Automated Hat-Maker and Sausage-Grinder",6
136,"Automated Hat-Maker and Sausage-Grinder",9
74,"Automated Hat-Maker and Sausage-Grinder",10
150,"Automated Hat-Maker and Sausage-Grinder",9
43,"Automated Hat-Maker and Sausage-Grinder",9
17,"Automated Hat-Maker and Sausage-Grinder",9
118,"A Story Well Spun",9
71,"A Story Well Spun",10
129,"A Story Well Spun",4
113,"A Story Well Spun",1
62,"A Story Well Spun",7
160,"A Story Well Spun",9
178,"A Story Well Spun",1
23,"A Story Well Spun",10
74,"A Story Well Spun",7
125,"A Story Well Spun",6
81,"A Story Well Spun",3
52,"A Story Well Spun",8
172,"National parade to celebrate the annexation of Congo to Belgium",4
107,"National parade to celebrate the annexation of Congo to Belgium",3
94,"National parade to celebrate the annexation of Congo to Belgium",8
60,"National parade to celebrate the annexation of Congo to Belgium",6
138,"National parade to celebrate the annexation of Congo to Belgium",2
40,"National parade to celebrate the annexation of Congo to Belgium",8
23,"National parade to celebrate the annexation of Congo to Belgium",10
155,"National parade to celebrate the annexation of Congo to Belgium",3
68,"National parade to celebrate the annexation of Congo to Belgium",3
16,"National parade to celebrate the annexation of Congo to Belgium",2
17,"National parade to celebrate the annexation of Congo to Belgium",8
115,"A Pair of Silk Stockings",3
91,"A Pair of Silk Stockings",7
148,"A Pair of Silk Stockings",4
12,"A Pair of Silk Stockings",1
112,"A Pair of Silk Stockings",2
18,"A Pair of Silk Stockings",4
69,"A Pair of Silk Stockings",1
24,"A Pair of Silk Stockings",9
68,"A Pair of Silk Stockings",5
48,"A Pair of Silk Stockings",3
70,"A Pair of Silk Stockings",2
20,"A Pair of Silk Stockings",8
57,"A Pair of Silk Stockings",2
16,"A Pair of Silk Stockings",10
30,"A Pair of Silk Stockings",3
134,"Harakiri",7
4,"Harakiri",10
83,"Harakiri",10
151,"Harakiri",5
93,"Harakiri",6
15,"Harakiri",9
168,"Harakiri",9
63,"Harakiri",10
136,"Harakiri",7
154,"Harakiri",9
110,"Harakiri",10
2,"Harakiri",2
132,"Harakiri",6
20,"Harakiri",1
34,"Harakiri",1
43,"Harakiri",8
82,"Harakiri",10
107,"The Jade Casket",1
14,"The Jade Casket",7
95,"The Jade Casket",9
177,"The Jade Casket",1
138,"The Jade Casket",8
64,"The Jade Casket",9
47,"The Jade Casket",1
40,"The Jade Casket",1
173,"The Jade Casket",9
121,"The Jade Casket",3
8,"The Jade Casket",2
137,"The Jade Casket",1
51,"The Jade Casket",1
81,"The Jade Casket",8
80,"The Jade Casket",10
87,"Orphans of the Storm",9
102,"Orphans of the Storm",2
180,"Orphans of the Storm",5
111,"Orphans of the Storm",8
83,"Orphans of the Storm",3
129,"Orphans of the Storm",5
49,"Orphans of the Storm",8
24,"Orphans of the Storm",6
121,"Orphans of the Storm",8
54,"Orphans of the Storm",10
2,"Orphans of the Storm",6
20,"Orphans of the Storm",8
116,"Orphans of the Storm",2
167,"Orphans of the Storm",4
80,"Orphans of the Storm",3
88,"The First Degree",9
95,"The First Degree",7
65,"The First Degree",4
108,"The First Degree",2
56,"The First Degree",5
148,"The First Degree",4
44,"The First Degree",5
66,"The First Degree",3
17,"The First Degree",3
31,"The First Degree",3
42,"The Thrill Seekers",1
95,"The Thrill Seekers",8
53,"The Thrill Seekers",9
87,"The Thrill Seekers",9
67,"The Thrill Seekers",2
4,"The Thrill Seekers",10
105,"The Thrill Seekers",9
28,"The Thrill Seekers",1
174,"The Thrill Seekers",9
66,"The Thrill Seekers",4
155,"The Thrill Seekers",4
85,"The Thrill Seekers",8
37,"The Thrill Seekers",10
3,"Hara-Kiri",8
98,"Hara-Kiri",2
60,"Hara-Kiri",1
175,"Hara-Kiri",6
126,"Hara-Kiri",2
127,"Hara-Kiri",3
